"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 22 13:35:34 UTC 2024","Mon Jul 22 13:35:45 UTC 2024","11463","","Operator signs digitally","","Operator chooses to sign digitally","","Operator chooses to sign digitally",""
"broken","Mon Jul 22 13:30:26 UTC 2024","Mon Jul 22 13:30:38 UTC 2024","11955","","Self Serve Apply for licence","","Saved card payment","","Saved card payment",""
"passed","Mon Jul 22 13:30:38 UTC 2024","Mon Jul 22 13:31:22 UTC 2024","43606","","Search and add a vehicle","","Add a vehicle to a licence","","Add a vehicle to a licence",""
"broken","Mon Jul 22 13:29:03 UTC 2024","Mon Jul 22 13:29:15 UTC 2024","11905","","ECMT International Removal submission page","","Fees paid through Fees Tab","","Fees paid through Fees Tab",""
"passed","Mon Jul 22 13:31:22 UTC 2024","Mon Jul 22 13:32:31 UTC 2024","69056","","import EBSR for English, Welsh and Scottish Areas","","import EBSR for curtailed and suspended licence in self-serve smoke test (Resource-B)","","import EBSR for curtailed and suspended licence in self-serve smoke test (Resource-B)",""
"passed","Mon Jul 22 13:32:55 UTC 2024","Mon Jul 22 13:33:16 UTC 2024","20310","","The Type of licence page now features the LGV Mixed and LGV Only selection with validation","","Clicking Yes to LGV Goods starts the LGV Only application route and type of licence is marked as complete","","Clicking Yes to LGV Goods starts the LGV Only application route and type of licence is marked as complete",""
"passed","Mon Jul 22 13:28:53 UTC 2024","Mon Jul 22 13:29:46 UTC 2024","53505","","Transaction Fees Table","","Search for transaction history","","Search for transaction history",""
"passed","Mon Jul 22 13:32:04 UTC 2024","Mon Jul 22 13:32:39 UTC 2024","35025","","LGV Mixed variation authorisation text","","If zero LGVs on the licence, then displays ""HGVs"" on the authorisation page","","If zero LGVs on the licence, then displays ""HGVs"" on the authorisation page",""
"passed","Mon Jul 22 13:31:33 UTC 2024","Mon Jul 22 13:32:04 UTC 2024","30956","","Caseworkers can apply for lgv only and mixed fleet licences and are redirected to the correct application overview","","Caseworker clicks no to lgv only and clicks create is redirected to mixed fleet application overview and type of licence is marked complete","","Caseworker clicks no to lgv only and clicks create is redirected to mixed fleet application overview and type of licence is marked complete",""
"passed","Mon Jul 22 13:28:15 UTC 2024","Mon Jul 22 13:28:53 UTC 2024","38029","","Admin paying fees","","Process GB payment by cash and card","","Process GB payment by cash and card",""
